tiempo_s,EMG
0.0,500
0.01,512
0.02,509
0.03,505
0.04,512
0.05,514
0.06,505
0.07,510
0.08,511
0.09,513
0.1,508
0.11,512
0.12,512
0.13,512
0.14,510
0.15,503
0.16,509
0.17,506
0.18,518
0.19,518
0.2,503
0.21,481
0.22,464
0.23,467
0.24,482
0.25,493
0.26,463
0.27,496
0.28,437
0.29,502
0.3,492
0.31,516
0.32,478
0.33,499
0.34,498
0.35,491
0.36,459
0.37,485
0.38,486
0.39,526
0.4,391
0.41,483
0.42,446
0.43,527
0.44,563
0.45,465
0.46,544
0.47,528
0.48,501
0.49,522
0.5,551
0.51,516
0.52,576
0.53,539
0.54,489
0.55,547
0.56,554
0.57,496
0.58,513
0.59,550
0.6,516
0.61,539
0.62,521
0.63,565
0.64,502
0.65,536
0.66,554
0.67,524
0.68,532
0.69,536
0.7,541
0.71,521
0.72,520
0.73,506
0.74,504
0.75,520
0.76,518
0.77,535
0.78,524
0.79,529
0.8,509
0.81,496
0.82,513
0.83,486
0.84,527
0.85,503
0.86,520
0.87,530
0.88,502
0.89,503
0.9,505
0.91,492
0.92,469
0.93,517
0.94,494
0.95,521
0.96,525
0.97,506
0.98,534
0.99,529
1.0,529
1.01,518
1.02,512
1.03,516
1.04,514
1.05,517
1.06,509
1.07,511
1.08,502
1.09,489
1.1,522
1.11,518
1.12,514
1.13,507
1.14,510
1.15,512
1.16,517
1.17,508
1.18,511
1.19,512
1.2,511
1.21,507
1.22,504
1.23,495
1.24,495
1.25,499
1.26,507
1.27,510
1.28,507
1.29,498
1.3,488
1.31,510
1.32,511
1.33,494
1.34,507
1.35,491
1.36,501
1.37,500
1.38,516
1.39,482
1.4,480
1.41,473
1.42,473
1.43,513
1.44,497
1.45,497
1.46,403
1.47,466
1.48,529
1.49,488
1.5,406
1.51,491
1.52,353
1.53,558
1.54,483
1.55,468
1.56,518
1.57,488
1.58,500
1.59,577
1.6,457
1.61,544
1.62,514
1.63,589
1.64,451
1.65,563
1.66,535
1.67,503
1.68,544
1.69,477
1.7,490
1.71,527
1.72,541
1.73,564
1.74,510
1.75,536
1.76,517
1.77,517
1.78,529
1.79,567
1.8,542
1.81,526
1.82,529
1.83,504
1.84,530
1.85,517
1.86,539
1.87,529
1.88,499
1.89,482
1.9,497
1.91,460
1.92,519
1.93,478
1.94,481
1.95,539
1.96,486
1.97,513
1.98,548
1.99,515
2.0,522
2.01,521
2.02,504
2.03,529
2.04,488
2.05,491
2.06,473
2.07,514
2.08,527
2.09,526
2.1,518
2.11,507
2.12,513
2.13,513
2.14,506
2.15,509
2.16,496
2.17,493
2.18,509
2.19,500
